"","VORP","time"
"849",18.2585620915033,"reg"
"850",-1.74143790849673,"reg"
"851",5.65856209150327,"reg"
"852",2.65856209150327,"reg"
"853",12.3585620915033,"reg"
"854",5.95856209150327,"reg"
"855",4.05856209150327,"reg"
"856",9.05856209150327,"reg"
"857",-0.041437908496732,"reg"
"858",10.1585620915033,"reg"
"859",5.45856209150327,"reg"
"860",6.15856209150327,"reg"
"861",7.55856209150327,"reg"
"862",2.95856209150327,"reg"
"863",9.15856209150327,"reg"
"864",9.55856209150327,"reg"
"865",-1.54143790849673,"reg"
"866",5.95856209150327,"reg"
"867",8.75856209150327,"reg"
"868",4.15856209150327,"reg"
"869",0.358562091503268,"reg"
"870",4.95856209150327,"reg"
"871",11.5585620915033,"reg"
"872",8.35856209150327,"reg"
"873",3.85856209150327,"reg"
"874",9.05856209150327,"reg"
"875",7.15856209150327,"reg"
"876",-2.84143790849673,"reg"
"877",9.95856209150327,"reg"
"878",4.45856209150327,"reg"
"879",-2.64143790849673,"reg"
"880",3.35856209150327,"reg"
"881",-1.34143790849673,"reg"
"882",-0.041437908496732,"reg"
