Visitor/Neutral,Visitor Points,Home/Neutral,Home Points,id,year,win,team,season_id,margin,playoff,correct,cteams
VAN,97,DET,111,200003100DET,2000,1,DET,DET-2000,14,FALSE,TRUE,TRUE
SAS,106,WAS,99,200003100WAS,2000,0,WAS,WAS-2000,-7,FALSE,TRUE,TRUE
POR,99,DET,94,200003110DET,2000,0,DET,DET-2000,-5,FALSE,TRUE,TRUE
PHI,77,BOS,93,200003120BOS,2000,1,BOS,BOS-2000,16,FALSE,TRUE,TRUE
SAC,106,LAL,109,200003120LAL,2000,1,LAL,LAL-2000,3,FALSE,TRUE,TRUE
SAS,80,NYK,93,200003120NYK,2000,1,NYK,NYK-2000,13,FALSE,TRUE,TRUE
LAL,118,DEN,108,200003130DEN,2000,0,DEN,DEN-2000,-10,FALSE,TRUE,TRUE
BOS,115,DET,124,200003130DET,2000,1,DET,DET-2000,9,FALSE,TRUE,TRUE
ATL,79,SAS,94,200003140SAS,2000,1,SAS,SAS-2000,15,FALSE,TRUE,TRUE
GSW,104,BOS,121,200003150BOS,2000,1,BOS,BOS-2000,17,FALSE,TRUE,TRUE
ORL,91,DET,113,200003150DET,2000,1,DET,DET-2000,22,FALSE,TRUE,TRUE
DAL,110,SAS,88,200003160SAS,2000,0,SAS,SAS-2000,-22,FALSE,TRUE,TRUE
LAL,102,WAS,109,200003160WAS,2000,1,WAS,WAS-2000,7,FALSE,TRUE,TRUE
BOS,114,ATL,90,200003170ATL,2000,0,ATL,ATL-2000,-24,FALSE,TRUE,TRUE
LAL,110,DET,82,200003170DET,2000,0,DET,DET-2000,-28,FALSE,TRUE,TRUE
BOS,104,DAL,99,200003180DAL,2000,0,DAL,DAL-2000,-5,FALSE,TRUE,TRUE
DEN,82,SAS,102,200003180SAS,2000,1,SAS,SAS-2000,20,FALSE,TRUE,TRUE
LAL,92,NYK,85,200003190NYK,2000,0,NYK,NYK-2000,-7,FALSE,TRUE,TRUE
